User_ID,firstname,lastname,email,department
100,Kristan,Bigner,Kristan.Bigner@nexgendefenders.com,Threat Intelligence
101,Nannie,Othilia,Nannie.Othilia@nexgendefenders.com,Compliance & Risk Management
102,Barbi,Arathorn,Barbi.Arathorn@nexgendefenders.com,Compliance & Risk Management
103,Corry,Tamar,Corry.Tamar@nexgendefenders.com,Endpoint Security
104,Florie,Ambrosia,Florie.Ambrosia@nexgendefenders.com,Threat Intelligence
105,Lynde,Kazimir,Lynde.Kazimir@nexgendefenders.com,Incident Response & Forensics
106,Magdalena,Sandye,Magdalena.Sandye@nexgendefenders.com,Security Operations Center (SOC)
107,Sheelagh,Parsaye,Sheelagh.Parsaye@nexgendefenders.com,Network Security
108,Dotty,Creamer,Dotty.Creamer@nexgendefenders.com,Incident Response & Forensics
109,Beatriz,Lareena,Beatriz.Lareena@nexgendefenders.com,Incident Response & Forensics
110,Trixi,Demitria,Trixi.Demitria@nexgendefenders.com,Incident Response & Forensics
111,Maud,Arvo,Maud.Arvo@nexgendefenders.com,Compliance & Risk Management
112,Cissiee,Cleo,Cissiee.Cleo@nexgendefenders.com,Threat Intelligence
113,Sharai,Madelene,Sharai.Madelene@nexgendefenders.com,Endpoint Security
114,Moyna,Bebe,Moyna.Bebe@nexgendefenders.com,Incident Response & Forensics
115,Elie,Bakerman,Elie.Bakerman@nexgendefenders.com,Endpoint Security
116,Paule,Eno,Paule.Eno@nexgendefenders.com,Endpoint Security
117,Teddie,Valerio,Teddie.Valerio@nexgendefenders.com,Threat Intelligence
118,Asia,Ursulette,Asia.Ursulette@nexgendefenders.com,Compliance & Risk Management
119,Fred,Yerkovich,Fred.Yerkovich@nexgendefenders.com,Endpoint Security
120,Marita,Pattin,Marita.Pattin@nexgendefenders.com,Endpoint Security
121,Roberta,Ilka,Roberta.Ilka@nexgendefenders.com,Incident Response & Forensics
122,Cindelyn,Stacy,Cindelyn.Stacy@nexgendefenders.com,Endpoint Security
123,Julieta,Garek,Julieta.Garek@nexgendefenders.com,Compliance & Risk Management
124,Rozele,Stoller,Rozele.Stoller@nexgendefenders.com,Compliance & Risk Management
125,Hettie,Destinee,Hettie.Destinee@nexgendefenders.com,Endpoint Security
126,Ebonee,Naor,Ebonee.Naor@nexgendefenders.com,Compliance & Risk Management
127,Ardenia,Shuler,Ardenia.Shuler@nexgendefenders.com,Security Operations Center (SOC)
128,Bobbi,Dowski,Bobbi.Dowski@nexgendefenders.com,Threat Intelligence
129,Brena,Lissi,Brena.Lissi@nexgendefenders.com,Vulnerability Management
130,Sheelagh,Lipson,Sheelagh.Lipson@nexgendefenders.com,Compliance & Risk Management
131,Phylis,Cressida,Phylis.Cressida@nexgendefenders.com,Vulnerability Management
132,Imojean,Socha,Imojean.Socha@nexgendefenders.com,Vulnerability Management
133,Tamqrah,Nester,Tamqrah.Nester@nexgendefenders.com,Network Security
134,Peri,Raama,Peri.Raama@nexgendefenders.com,Network Security
135,Maisey,Yusuk,Maisey.Yusuk@nexgendefenders.com,Compliance & Risk Management
136,Aurelie,Ogren,Aurelie.Ogren@nexgendefenders.com,Endpoint Security
137,Tilly,Masao,Tilly.Masao@nexgendefenders.com,Security Operations Center (SOC)
138,Philis,Tybald,Philis.Tybald@nexgendefenders.com,Threat Intelligence
139,Danny,Lia,Danny.Lia@nexgendefenders.com,Network Security
140,Wynne,Eben,Wynne.Eben@nexgendefenders.com,Security Operations Center (SOC)
141,Marjie,Demitria,Marjie.Demitria@nexgendefenders.com,Compliance & Risk Management
142,Olwen,Vittoria,Olwen.Vittoria@nexgendefenders.com,Vulnerability Management
143,Emmey,Ailyn,Emmey.Ailyn@nexgendefenders.com,Security Operations Center (SOC)
